timestamp,ref_x,ref_y,ref_yaw,ref_v,ref_w,vir_x,vir_y,vir_yaw,vir_v,vir_vx,vir_vy,vir_w,e_Vx,e_Vy,e_Vyaw,e_Vv,e_Vw,u_steer,u_vel,comp_time_ms,min_cost,mean_cost
1765962444.5143743,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.27431322370975,-6.662793332802547,1.5352127662059118,0.3614477300135847,0.35809305950597786,-0.04913066522673419,-0.016715995331857556,0.43126817823577474,0.03659070689593822,0.03551946970259645,-0.05571532889799141,0.016715995331857556,-0.06171602189540863,0.3030009865760803,20.813465118408203,24273.361328125,25162.0859375
1765962444.563902,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.272394036607587,-6.616593701660575,1.532619779410556,0.017778037537870744,0.01756845721484843,-0.0027217512355065506,-5.180132471722709e-06,0.3849326307157213,0.03786333002630779,0.03811245649795225,0.284809273393138,5.180132471722709e-06,-0.0984712466597557,0.4030009865760803,20.261287689208984,25117.04296875,26232.638671875
1765962444.6158807,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.27240022383278,-6.615763343443378,1.532579831994205,0.047461753497918285,0.04586349204851453,-0.012213031655285395,-0.005436884977288797,0.3841016023411742,0.03784079869602102,0.0381524039143033,0.2565142385594719,0.005436884977288797,-0.018471246659755705,0.3060682415962219,22.187232971191406,25119.4140625,26095.53515625
1765962444.6623855,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.27080470620985,-6.580941958826854,1.531579548688771,0.4062677102993819,0.4061123462791199,-0.011234528542430441,-6.100162362914559e-05,0.3492063924705017,0.03845404847716939,0.03915268721973719,-0.10373461567113346,6.100162362914559e-05,0.0615287533402443,0.20606824159622192,18.724679946899414,23601.498046875,24611.037109375
1765962444.7155302,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.267717756862602,-6.522189251580008,1.5313680936982188,0.7207829312600218,0.7207724795905119,-0.003881579669980432,-7.536664611697618e-05,0.2903695268302163,0.039296523966506194,0.039364142210289506,-0.4183947489825255,7.536664611697618e-05,0.07220224291086197,0.2864967882633209,20.382404327392578,22504.60546875,23533.400390625
1765962444.7709029,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.26742530781162,-6.51624520042717,1.5313423941936997,0.004695816464315745,0.004278659125208098,0.001934882000746375,0.0013593289150928335,0.2844175561013147,0.03936175241555376,0.03938984171480864,0.29809907148277837,-0.0013593289150928335,-0.007797757089138033,0.2084909826517105,27.310848236083984,24668.248046875,25797.291015625
1765962444.8156455,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.267254396812756,-6.506681536337932,1.5315550476067425,0.13496606649328602,0.13495763012425907,0.0015090314489040503,-0.019177633149715358,0.27486291344010677,0.039096854483588905,0.03917718830176575,0.16742010048372738,0.019177633149715358,-0.08779775708913803,0.3084909826517105,22.054433822631836,24068.724609375,25194.5078125
1765962444.8697722,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.263161656374056,-6.448349187891644,1.5321895457364538,0.01717173802090149,0.017162587212343018,-0.0005605237168878084,-5.1365202423998896e-06,0.21644081456275813,0.040760672544602396,0.03854269017205447,0.2852151433956434,5.1365202423998896e-06,-0.007797757089138033,0.40849098265171047,26.131629943847656,24348.640625,25355.013671875
1765962444.915466,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.26331390541353,-6.449425348772235,1.5321886136300724,0.002547372484629304,0.002479147299111108,-0.0005856067321646603,-0.0025435521276953796,0.2175220120379325,0.040650276494443735,0.038543622278435885,0.29989858330887537,0.0025435521276953796,-0.08779775708913803,0.5084909826517104,21.85845375061035,24278.390625,25423.875
1765962444.9626346,-18.295538,-6.2304964,1.5707322,0.30237773,0.0,-18.261357532045754,-6.418173622790227,1.5320522597822603,0.2996335696197717,0.29894314947286216,-0.020329029153714356,0.0072387901738094175,0.1862124154048738,0.04142432521136306,0.03867997612624796,0.0034345811351242928,-0.0072387901738094175,-0.019762836396694183,0.6084909826517104,18.883705139160156,23023.388671875,24120.1328125
