timestamp,ref_x,ref_y,ref_yaw,ref_v,act_x,act_y,act_yaw,act_v,error_lat,error_yaw,error_v,cmd_steer,cmd_accel,cmd_gear,comp_time_ms
1765281687.5086362,-18.294964,-7.362861,1.5707667,0.0,-18.296049873545822,-7.29247311317301,1.5699078962552462,0.08733385584527102,0.0010881231353386226,-0.0008587911379422941,0.08733385584527102,-0.009006776,-0.01596973,1,36.0875129699707
1765281687.5579872,-18.294964,-7.362861,1.5707667,0.0,-18.295995114405667,-7.289568212210104,1.5699019041427935,0.07857831519422807,0.0010334500947073977,-0.0008647832503949625,0.07857831519422807,-0.02794464,0.0020837355,1,35.54248809814453
1765281687.6101594,-18.294964,-7.362861,1.5707667,0.0,-18.296123024995495,-7.284094931800648,1.5698112235076762,0.06756666676497747,0.001161522909288458,-0.0009554638855122644,0.06756666676497747,-0.0027474975,-0.020178534,1,37.42218017578125
1765281687.6585977,-18.294964,-7.362861,1.5707667,0.0,-18.2956993094278,-7.280279974317372,1.5699518384132325,0.14993310414530817,0.0007379204146475827,-0.0008148489799559844,0.14993310414530817,0.00815332,-0.06443418,1,36.06843948364258
1765281687.7113907,-18.294964,-7.362861,1.5707667,0.0,-18.295825196581703,-7.2688428939436935,1.5698578288267526,0.0199783044307719,0.0008641465567615703,-0.000908858566435855,0.0199783044307719,0.008891038,-0.084116586,1,38.863182067871094
1765281687.758569,-18.294964,-7.362861,1.5707667,0.0,-18.295830694389537,-7.269220549183422,1.5698579619848072,0.0059309418117310265,0.0008696331711203703,-0.0009087254083812723,0.0059309418117310265,-0.016458133,-0.060161673,1,35.98904609680176
1765281687.8094873,-18.294964,-7.362861,1.5707667,0.0,-18.296034569187377,-7.265764770204237,1.569773140304088,0.09262348831846821,0.0010736103961795187,-0.0009935470891004883,0.09262348831846821,-0.023740329,-0.042146098,1,36.85808181762695
1765281687.9010315,-18.294964,-7.362861,1.5707667,0.0,-18.29601805986079,-7.263129743812479,1.5697591587083652,0.09571521489107147,0.0010571791701948178,-0.0010075286848232337,0.09571521489107147,0.015911343,-0.043006204,1,68.67003440856934
1765281687.9415357,-18.294964,-7.362861,1.5707667,0.0,-18.29628806043539,-7.254258672864452,1.569518408945822,0.1550210922248965,0.0013274426780257606,-0.0012482784473664132,0.1550210922248965,-0.02721017,-0.050084893,1,40.0545597076416
1765281687.9670026,-18.294964,-7.362861,1.5707667,0.0,-18.296191732985406,-7.247033726136075,1.5695608863652089,0.2186822226034786,0.0012313293711342284,-0.001205801027979625,0.2186822226034786,-0.06893402,-0.06809223,1,24.799585342407227
1765281688.000497,-18.294964,-7.362861,1.5707667,0.0,-18.296637748191444,-7.2419073627205295,1.5693968356420598,0.008023043367917534,0.0016774965195124744,-0.0013698517511286923,0.008023043367917534,-0.096907794,-0.053188734,1,28.074264526367188
1765281688.0584884,-18.294964,-7.362861,1.5707667,0.0,-18.296655811280914,-7.242187741714037,1.569396303009842,0.004760294933445276,0.0016955512987174523,-0.001370384383346579,0.004760294933445276,-0.03046608,-0.041241895,1,36.01503372192383
1765281688.1114905,-18.294964,-7.362861,1.5707667,0.0,-18.296409473362317,-7.240630960925447,1.5694361172681386,0.05554892470350447,0.0014492595221706074,-0.00133057012504989,0.05554892470350447,-0.023431523,-0.037194002,1,38.89799118041992
1765281688.154031,-18.294964,-7.362861,1.5707667,0.0,-18.29637108093527,-7.23899870588437,1.5694181409307806,0.06476353501974146,0.0014109154741849604,-0.0013485464624078958,0.06476353501974146,0.009170291,-0.04311208,1,31.49127960205078
1765281688.2000756,-18.294964,-7.362861,1.5707667,0.0,-18.296394915861853,-7.2351924643979775,1.569364345076761,0.07757281052921261,0.001434863215486073,-0.0014023423164275517,0.07757281052921261,-0.0040430725,-0.044979803,1,27.487754821777344
1765281688.2579288,-18.294964,-7.362861,1.5707667,0.0,-18.29676823281174,-7.231919525227552,1.5692049548855196,0.10301749070182208,0.0018082771733289905,-0.0015617325076688893,0.10301749070182208,-0.005384915,-0.046916775,1,35.38942337036133
1765281688.3083334,-18.294964,-7.362861,1.5707667,0.0,-18.29624801879038,-7.220105499344406,1.5694334541070485,0.21412336618650651,0.00128841331261865,-0.0013332332861399898,0.21412336618650651,0.011308166,-0.00074451044,1,35.840511322021484
