timestamp,ref_x,ref_y,ref_yaw,ref_v,act_x,act_y,act_yaw,act_v,act_vx,act_vy,error_lon,error_lat,error_yaw,error_v,cmd_steer,cmd_accel,cmd_gear,comp_time_ms,min_cost,mean_cost
1765552430.6920147,-24.79758,0.1,0.0,-0.5237129,-24.403912378392764,0.1074482704853498,0.005338040088954887,-0.8438773424382626,-0.8433674768782705,-0.029330326023496202,0.39366834060137634,0.007448268995233681,0.005338040088954887,-0.3196546034194082,0.004220154,0.13394916741244708,-1,8.237123489379883,9.265114784240723,37.549678802490234
1765552430.739091,-24.825006,0.1,0.0,-0.51802206,-24.42014115301554,0.10878362729530772,0.004522047530954421,-0.1834018594784074,-0.18340020070426355,0.0007800267773207457,0.40486533196981256,0.008783625805191597,0.004522047530954421,0.33462185969002356,-0.12506483,-0.03542252598469556,-1,5.321979522705078,9.86583137512207,144.17745971679688
1765552430.7893944,-24.84932,0.1,0.0,-0.5121382,-24.42924442201862,0.10898418998994051,0.004828577372422593,-0.25438524098071374,-0.25275991110571905,0.028710244977094717,0.4200750359891927,0.008984188499824394,0.004828577372422593,0.2593782767795654,-0.09309387,-0.2518501614807602,-1,5.618572235107422,11.904203414916992,56.71861267089844
1765552430.839058,-24.873375,0.1,0.0,-0.50623536,-24.438329924611637,0.10909510209943492,0.005185973590711157,-0.2650361648001649,-0.2640951973897839,0.022313569136990917,0.4350450143532072,0.009095100609318799,0.005185973590711157,0.2421401637094593,-0.08632502,-0.439775156447787,-1,5.24449348449707,14.6952486038208,48.951416015625
1765552430.8894188,-24.897408,0.1,0.0,-0.5003386,-24.458160301162266,0.10914780637969572,0.006028597759612175,-0.2839036931186235,-0.28254612600908435,0.027730734639604827,0.4392472305760151,0.0091478048895796,0.006028597759612175,0.21779248797788464,-0.010991994,-0.5877721937782061,-1,5.615711212158203,14.267755508422852,47.72412872314453
1765552430.9391894,-24.921427,0.1,0.0,-0.49444488,-24.466328524503208,0.10932350496792534,0.006121542081656273,-0.29128745206626583,-0.2911114890475974,0.010123273963876482,0.45509824856808123,0.00932350347780922,0.0061215420816562735,0.20333338786165855,0.013380969,-0.7225624762575372,-1,5.422830581665039,16.21383285522461,47.45492172241211
1765552430.9894495,-24.945469,0.1,0.0,-0.48854578,-24.48970569638661,0.10946505721409734,0.006052566209422849,-0.3191258017744971,-0.31907142624165546,-0.005890867027141273,0.4557632062012793,0.009465055723981222,0.006052566209422849,0.16947434917185772,0.0031945594,-0.7968963811616481,-1,5.6858062744140625,15.352757453918457,44.39899444580078
1765552431.04246,-24.969507,0.1,0.0,-0.4826476,-24.500071385508857,0.10875920829123262,0.006307963357961466,-0.37745097587224186,-0.3774220027822184,-0.004676644391745066,0.46943583189836957,0.008759206801116498,0.006307963357961466,0.10522559500754602,0.044357657,-0.8163502694044775,-1,8.685588836669922,14.850282669067383,41.294307708740234
1765552431.0891037,-24.993536,0.1,0.0,-0.47675136,-24.522002425163752,0.10711099314822331,0.006795321837445911,-0.4148583280347112,-0.4145052420822866,-0.01711246989949037,0.4715335703196466,0.007110991658107191,0.006795321837445912,0.06224611523468421,-0.0051577687,-0.8017661548268781,-1,5.352258682250977,13.944583892822266,40.584251403808594
1765552431.13922,-25.017588,0.1,0.0,-0.47085014,-24.534160425005798,0.1076984983241546,0.006222209570861281,-0.4104169494568569,-0.4100367637284177,-0.017661392713996037,0.48342723673736643,0.007698496834038476,0.00622220957086128,0.060813376127920815,-0.0055272654,-0.7839211686083069,-1,5.453586578369141,14.361520767211914,41.72941589355469
1765552431.1898155,-25.041613,0.1,0.0,-0.46495515,-24.57009005554469,0.10641251741085943,0.006666158524577082,-0.5569753329476069,-0.5569727104909954,0.0017091753600525631,0.47152256957738103,0.0064125159207433086,0.006666158524577082,-0.09201755940991019,0.012256103,-0.7330328369676941,-1,6.021738052368164,12.308464050292969,37.75852584838867
1765552431.2392175,-25.065655,0.1,0.0,-0.45905554,-24.60406073586541,0.10662268627012307,0.00642034875596309,-0.6568979694282686,-0.6568659437832015,-0.006486457953806948,0.4615940187732619,0.006622684780006952,0.00642034875596309,-0.1978104008373397,-0.0705448,-0.5963263612168939,-1,5.46717643737793,11.193944931030273,39.06962585449219
1765552431.2919395,-25.089691,0.1,0.0,-0.45315808,-24.625953284427606,0.10635761775707196,0.006763896536583047,-0.6668048050369607,-0.6661355012142185,0.029868746918160514,0.4637378776817691,0.006357616266955843,0.006763896536583047,-0.21297742063636815,-0.054514416,-0.4304367776537475,-1,8.1787109375,11.34947395324707,38.071556091308594
